rho_sigma_cube,kT/E
0.124463519313305,0.00983420009373681
0.130185979971388,0.0355770864161145
0.133047210300429,0.0527403750708656
0.141630901287554,0.109952701693201
0.151645207439199,0.184330363630038
0.158798283261803,0.278740731189662
0.170243204577969,0.370283728440998
0.175965665236052,0.444667530357081
0.19170243204578,0.55623299993246
0.198855507868383,0.633475985517836
0.216022889842632,0.740747562939904
0.227467811158798,0.79366395074918
0.233190271816881,0.82512929772964
0.237482117310444,0.845151770053684
0.246065808297568,0.870890563056564
0.248927038626609,0.889484466875835
0.257510729613734,0.912362029549674
0.260371959942775,0.926664087875383
0.267525035765379,0.950974312373491
0.277539341917024,0.966696752564976
0.286123032904149,0.976698778758128
0.298998569384836,0.98240281947847
0.145922746781116,0.148573171156015
0.155937052932761,0.235826369573538
0.164520743919886,0.327373460144371
0.17310443490701,0.411767474892601
0.183118741058655,0.496159442981083
0.187410586552217,0.527626836621292
0.19170243204578,0.584845303222875
0.203147353361946,0.669235224651607
0.208869814020029,0.703561801961109
0.137339055793991,0.0842077687110751
0.309012875536481,0.976666032202144
0.32761087267525,0.950888352664035
0.336194563662375,0.927986230073209
0.195994277539342,0.612020851369522
0.171673819742489,0.393171524413581
